action,month,day,hour,count,sum,average,std,step
FOOD_GROCERIES,7,6,16,59,2523.0,42.8,15.0,187
FOOD_RESTAURANT,7,6,12,42,970.0,23.1,12.0,187
TRANSPORT_PUBLIC,7,6,8,47,400.5,8.5,5.0,187
TRANSPORT_PRIVATE,7,6,18,41,643.0,15.7,8.0,187
HEALTHCARE,7,6,11,16,2092.2,130.8,80.0,187
SHOPPING_CLOTHES,7,6,13,28,2259.1,80.7,45.0,187
SHOPPING_ELECTRONICS,7,6,16,12,3068.1,255.7,150.0,187
ENTERTAINMENT,7,6,20,30,995.0,33.2,20.0,187
HOUSING,7,6,1,8,13966.1,1745.8,600.0,187
INSURANCE,7,6,3,5,936.1,187.2,100.0,187
EDUCATION,7,6,14,5,2491.9,498.4,300.0,187
TRAVEL,7,6,9,8,1151.8,144.0,100.0,187
CASH_WITHDRAWAL,7,6,15,9,868.3,96.5,50.0,187
CASH_DEPOSIT,7,6,17,4,2073.5,518.4,300.0,187
BANK_TRANSFER,7,6,10,5,5060.1,1012.0,500.0,187
CREDIT_CARD_PAYMENT,7,6,14,7,529.9,75.7,40.0,187
FOOD_GROCERIES,7,7,14,67,3176.4,47.4,15.0,188
FOOD_RESTAURANT,7,7,13,33,846.7,25.7,12.0,188
TRANSPORT_PUBLIC,7,7,6,54,465.8,8.6,5.0,188
TRANSPORT_PRIVATE,7,7,8,40,648.6,16.2,8.0,188
HEALTHCARE,7,7,11,20,2479.3,124.0,80.0,188
SHOPPING_CLOTHES,7,7,16,27,2403.2,89.0,45.0,188
SHOPPING_ELECTRONICS,7,7,16,11,2853.1,259.4,150.0,188
ENTERTAINMENT,7,7,22,27,855.1,31.7,20.0,188
HOUSING,7,7,5,9,14908.6,1656.5,600.0,188
INSURANCE,7,7,4,3,602.5,200.8,100.0,188
EDUCATION,7,7,15,4,1987.3,496.8,300.0,188
TRAVEL,7,7,15,9,1281.1,142.3,100.0,188
CASH_WITHDRAWAL,7,7,21,8,738.2,92.3,50.0,188
CASH_DEPOSIT,7,7,11,5,2623.4,524.7,300.0,188
BANK_TRANSFER,7,7,17,4,4204.0,1051.0,500.0,188
CREDIT_CARD_PAYMENT,7,7,15,9,654.9,72.8,40.0,188
FOOD_GROCERIES,7,8,15,55,2322.7,42.2,15.0,189
FOOD_RESTAURANT,7,8,13,31,808.0,26.1,12.0,189
TRANSPORT_PUBLIC,7,8,17,49,397.0,8.1,5.0,189
TRANSPORT_PRIVATE,7,8,17,29,438.4,15.1,8.0,189
HEALTHCARE,7,8,16,13,1567.8,120.6,80.0,189
SHOPPING_CLOTHES,7,8,15,18,1519.1,84.4,45.0,189
SHOPPING_ELECTRONICS,7,8,11,8,2084.3,260.5,150.0,189
ENTERTAINMENT,7,8,21,26,960.7,36.9,20.0,189
HOUSING,7,8,4,7,11969.4,1709.9,600.0,189
INSURANCE,7,8,1,3,597.4,199.1,100.0,189
EDUCATION,7,8,14,3,1497.5,499.2,300.0,189
TRAVEL,7,8,15,7,1077.8,154.0,100.0,189
CASH_WITHDRAWAL,7,8,9,7,727.5,103.9,50.0,189
CASH_DEPOSIT,7,8,12,3,1406.5,468.8,300.0,189
BANK_TRANSFER,7,8,12,3,2989.2,996.4,500.0,189
CREDIT_CARD_PAYMENT,7,8,16,7,512.4,73.2,40.0,189
FOOD_GROCERIES,7,9,18,41,1840.1,44.9,15.0,190
FOOD_RESTAURANT,7,9,21,33,888.5,26.9,12.0,190
TRANSPORT_PUBLIC,7,9,6,45,375.9,8.4,5.0,190
TRANSPORT_PRIVATE,7,9,8,28,382.2,13.6,8.0,190
HEALTHCARE,7,9,17,15,1833.3,122.2,80.0,190
SHOPPING_CLOTHES,7,9,11,24,2227.7,92.8,45.0,190
SHOPPING_ELECTRONICS,7,9,12,8,1886.0,235.8,150.0,190
ENTERTAINMENT,7,9,20,21,755.1,36.0,20.0,190
HOUSING,7,9,5,7,11705.2,1672.2,600.0,190
INSURANCE,7,9,2,4,744.0,186.0,100.0,190
EDUCATION,7,9,9,3,1526.2,508.7,300.0,190
TRAVEL,7,9,15,8,1232.9,154.1,100.0,190
CASH_WITHDRAWAL,7,9,10,6,558.5,93.1,50.0,190
CASH_DEPOSIT,7,9,12,3,1494.5,498.2,300.0,190
BANK_TRANSFER,7,9,15,3,3101.2,1033.7,500.0,190
CREDIT_CARD_PAYMENT,7,9,21,6,406.2,67.7,40.0,190
FOOD_GROCERIES,7,10,15,59,2746.0,46.5,15.0,191
FOOD_RESTAURANT,7,10,19,28,742.9,26.5,12.0,191
TRANSPORT_PUBLIC,7,10,8,34,285.6,8.4,5.0,191
TRANSPORT_PRIVATE,7,10,17,24,366.2,15.3,8.0,191
HEALTHCARE,7,10,17,13,1474.1,113.4,80.0,191
SHOPPING_CLOTHES,7,10,16,16,1327.9,83.0,45.0,191
SHOPPING_ELECTRONICS,7,10,16,9,2436.9,270.8,150.0,191
ENTERTAINMENT,7,10,19,27,913.9,33.8,20.0,191
HOUSING,7,10,4,6,10602.2,1767.0,600.0,191
INSURANCE,7,10,3,3,582.3,194.1,100.0,191
EDUCATION,7,10,10,3,1531.5,510.5,300.0,191
TRAVEL,7,10,11,6,859.5,143.3,100.0,191
CASH_WITHDRAWAL,7,10,10,6,629.5,104.9,50.0,191
CASH_DEPOSIT,7,10,17,3,1618.6,539.5,300.0,191
BANK_TRANSFER,7,10,17,3,2757.2,919.1,500.0,191
CREDIT_CARD_PAYMENT,7,10,20,7,553.5,79.1,40.0,191
FOOD_GROCERIES,7,11,9,42,1869.8,44.5,15.0,192
FOOD_RESTAURANT,7,11,12,33,834.5,25.3,12.0,192
TRANSPORT_PUBLIC,7,11,17,37,314.5,8.5,5.0,192
TRANSPORT_PRIVATE,7,11,8,25,337.6,13.5,8.0,192
HEALTHCARE,7,11,17,12,1535.2,127.9,80.0,192
SHOPPING_CLOTHES,7,11,16,23,1965.6,85.5,45.0,192
SHOPPING_ELECTRONICS,7,11,15,11,2857.9,259.8,150.0,192
ENTERTAINMENT,7,11,20,27,991.0,36.7,20.0,192
HOUSING,7,11,2,7,12697.7,1814.0,600.0,192
INSURANCE,7,11,3,4,855.3,213.8,100.0,192
EDUCATION,7,11,9,2,1055.3,527.7,300.0,192
TRAVEL,7,11,10,6,859.8,143.3,100.0,192
CASH_WITHDRAWAL,7,11,17,7,718.5,102.6,50.0,192
CASH_DEPOSIT,7,11,8,3,1515.9,505.3,300.0,192
BANK_TRANSFER,7,11,13,2,2044.9,1022.4,500.0,192
CREDIT_CARD_PAYMENT,7,11,19,7,523.4,74.8,40.0,192
FOOD_GROCERIES,7,12,16,52,2562.2,49.3,15.0,193
FOOD_RESTAURANT,7,12,11,29,713.3,24.6,12.0,193
TRANSPORT_PUBLIC,7,12,9,34,317.3,9.3,5.0,193
TRANSPORT_PRIVATE,7,12,8,29,404.2,13.9,8.0,193
HEALTHCARE,7,12,11,12,1483.5,123.6,80.0,193
SHOPPING_CLOTHES,7,12,14,22,1797.3,81.7,45.0,193
SHOPPING_ELECTRONICS,7,12,14,11,2667.7,242.5,150.0,193
ENTERTAINMENT,7,12,20,22,833.3,37.9,20.0,193
HOUSING,7,12,4,7,11734.6,1676.4,600.0,193
INSURANCE,7,12,4,3,647.4,215.8,100.0,193
EDUCATION,7,12,16,4,1902.1,475.5,300.0,193
TRAVEL,7,12,15,5,710.7,142.1,100.0,193
CASH_WITHDRAWAL,7,12,10,6,655.9,109.3,50.0,193
CASH_DEPOSIT,7,12,14,3,1370.8,456.9,300.0,193
BANK_TRANSFER,7,12,16,2,2057.9,1028.9,500.0,193
CREDIT_CARD_PAYMENT,7,12,21,6,460.9,76.8,40.0,193
FOOD_GROCERIES,7,13,9,55,2374.5,43.2,15.0,194
FOOD_RESTAURANT,7,13,12,44,1070.3,24.3,12.0,194
TRANSPORT_PUBLIC,7,13,6,58,506.4,8.7,5.0,194
TRANSPORT_PRIVATE,7,13,19,37,549.9,14.9,8.0,194
HEALTHCARE,7,13,15,16,1866.7,116.7,80.0,194
SHOPPING_CLOTHES,7,13,13,28,2222.0,79.4,45.0,194
SHOPPING_ELECTRONICS,7,13,13,15,3580.4,238.7,150.0,194
ENTERTAINMENT,7,13,23,32,1128.9,35.3,20.0,194
HOUSING,7,13,5,9,16943.4,1882.6,600.0,194
INSURANCE,7,13,4,5,1045.7,209.1,100.0,194
EDUCATION,7,13,16,4,1982.5,495.6,300.0,194
TRAVEL,7,13,9,10,1393.4,139.3,100.0,194
CASH_WITHDRAWAL,7,13,13,10,1010.1,101.0,50.0,194
CASH_DEPOSIT,7,13,11,5,2481.1,496.2,300.0,194
BANK_TRANSFER,7,13,12,3,2993.2,997.7,500.0,194
CREDIT_CARD_PAYMENT,7,13,18,7,542.8,77.5,40.0,194
FOOD_GROCERIES,7,14,12,59,2675.2,45.3,15.0,195
FOOD_RESTAURANT,7,14,13,43,1133.4,26.4,12.0,195
TRANSPORT_PUBLIC,7,14,8,52,409.6,7.9,5.0,195
TRANSPORT_PRIVATE,7,14,18,35,558.1,15.9,8.0,195
HEALTHCARE,7,14,11,18,1944.4,108.0,80.0,195
SHOPPING_CLOTHES,7,14,15,23,1783.9,77.6,45.0,195
SHOPPING_ELECTRONICS,7,14,19,12,3072.4,256.0,150.0,195
ENTERTAINMENT,7,14,20,32,1091.2,34.1,20.0,195
HOUSING,7,14,5,8,13837.1,1729.6,600.0,195
INSURANCE,7,14,5,3,645.1,215.0,100.0,195
EDUCATION,7,14,8,5,2507.8,501.6,300.0,195
TRAVEL,7,14,16,9,1266.9,140.8,100.0,195
CASH_WITHDRAWAL,7,14,15,10,1011.8,101.2,50.0,195
CASH_DEPOSIT,7,14,10,4,2087.4,521.8,300.0,195
BANK_TRANSFER,7,14,15,3,3298.5,1099.5,500.0,195
CREDIT_CARD_PAYMENT,7,14,17,8,572.3,71.5,40.0,195
FOOD_GROCERIES,7,15,18,46,1865.2,40.5,15.0,196
FOOD_RESTAURANT,7,15,11,26,667.8,25.7,12.0,196
TRANSPORT_PUBLIC,7,15,18,36,332.7,9.2,5.0,196
TRANSPORT_PRIVATE,7,15,9,32,526.9,16.5,8.0,196
HEALTHCARE,7,15,14,15,1894.5,126.3,80.0,196
SHOPPING_CLOTHES,7,15,12,18,1447.8,80.4,45.0,196
SHOPPING_ELECTRONICS,7,15,13,11,2648.2,240.7,150.0,196
ENTERTAINMENT,7,15,23,26,830.5,31.9,20.0,196
HOUSING,7,15,3,6,10105.1,1684.2,600.0,196
INSURANCE,7,15,2,3,657.8,219.3,100.0,196
EDUCATION,7,15,12,3,1575.0,525.0,300.0,196
TRAVEL,7,15,16,7,1151.6,164.5,100.0,196
CASH_WITHDRAWAL,7,15,11,7,715.8,102.3,50.0,196
CASH_DEPOSIT,7,15,11,3,1517.0,505.7,300.0,196
BANK_TRANSFER,7,15,17,4,4112.5,1028.1,500.0,196
CREDIT_CARD_PAYMENT,7,15,18,6,421.8,70.3,40.0,196
FOOD_GROCERIES,7,16,10,43,2013.7,46.8,15.0,197
FOOD_RESTAURANT,7,16,13,25,647.0,25.9,12.0,197
TRANSPORT_PUBLIC,7,16,18,45,349.4,7.8,5.0,197
TRANSPORT_PRIVATE,7,16,17,32,438.4,13.7,8.0,197
HEALTHCARE,7,16,10,15,1834.2,122.3,80.0,197
SHOPPING_CLOTHES,7,16,10,24,2183.6,91.0,45.0,197
SHOPPING_ELECTRONICS,7,16,10,8,1880.6,235.1,150.0,197
ENTERTAINMENT,7,16,19,20,633.5,31.7,20.0,197
HOUSING,7,16,4,8,13367.7,1671.0,600.0,197
INSURANCE,7,16,1,3,545.4,181.8,100.0,197
EDUCATION,7,16,11,3,1466.9,489.0,300.0,197
TRAVEL,7,16,13,7,1060.3,151.5,100.0,197
CASH_WITHDRAWAL,7,16,22,6,603.7,100.6,50.0,197
CASH_DEPOSIT,7,16,17,2,911.8,455.9,300.0,197
BANK_TRANSFER,7,16,9,3,2883.0,961.0,500.0,197
CREDIT_CARD_PAYMENT,7,16,12,5,386.2,77.2,40.0,197
FOOD_GROCERIES,7,17,17,50,2411.2,48.2,15.0,198
FOOD_RESTAURANT,7,17,21,31,707.3,22.8,12.0,198
TRANSPORT_PUBLIC,7,17,19,43,348.2,8.1,5.0,198
TRANSPORT_PRIVATE,7,17,7,27,431.2,16.0,8.0,198
HEALTHCARE,7,17,10,13,1641.9,126.3,80.0,198
SHOPPING_CLOTHES,7,17,11,17,1529.9,90.0,45.0,198
SHOPPING_ELECTRONICS,7,17,18,11,2728.9,248.1,150.0,198
ENTERTAINMENT,7,17,23,21,751.1,35.8,20.0,198
HOUSING,7,17,4,7,11673.5,1667.6,600.0,198
INSURANCE,7,17,4,3,593.6,197.9,100.0,198
EDUCATION,7,17,16,4,2189.4,547.3,300.0,198
TRAVEL,7,17,10,7,1133.6,161.9,100.0,198
CASH_WITHDRAWAL,7,17,20,5,532.1,106.4,50.0,198
CASH_DEPOSIT,7,17,12,3,1364.4,454.8,300.0,198
BANK_TRANSFER,7,17,12,3,3297.3,1099.1,500.0,198
CREDIT_CARD_PAYMENT,7,17,11,6,426.0,71.0,40.0,198
FOOD_GROCERIES,7,18,16,48,2089.1,43.5,15.0,199
FOOD_RESTAURANT,7,18,19,26,598.4,23.0,12.0,199
TRANSPORT_PUBLIC,7,18,6,47,401.7,8.5,5.0,199
TRANSPORT_PRIVATE,7,18,19,32,524.8,16.4,8.0,199
HEALTHCARE,7,18,14,13,1545.8,118.9,80.0,199
SHOPPING_CLOTHES,7,18,15,22,2045.5,93.0,45.0,199
SHOPPING_ELECTRONICS,7,18,14,9,2315.9,257.3,150.0,199
ENTERTAINMENT,7,18,18,19,677.1,35.6,20.0,199
HOUSING,7,18,1,5,8898.8,1779.8,600.0,199
INSURANCE,7,18,4,3,659.0,219.7,100.0,199
EDUCATION,7,18,8,3,1619.0,539.7,300.0,199
TRAVEL,7,18,12,7,982.8,140.4,100.0,199
CASH_WITHDRAWAL,7,18,22,6,612.4,102.1,50.0,199
CASH_DEPOSIT,7,18,17,2,909.4,454.7,300.0,199
BANK_TRANSFER,7,18,11,3,2803.8,934.6,500.0,199
CREDIT_CARD_PAYMENT,7,18,19,8,580.5,72.6,40.0,199
FOOD_GROCERIES,7,19,12,49,2306.1,47.1,15.0,200
FOOD_RESTAURANT,7,19,19,33,902.9,27.4,12.0,200
TRANSPORT_PUBLIC,7,19,6,36,285.9,7.9,5.0,200
TRANSPORT_PRIVATE,7,19,8,24,337.7,14.1,8.0,200
HEALTHCARE,7,19,9,15,1951.7,130.1,80.0,200
SHOPPING_CLOTHES,7,19,16,19,1582.7,83.3,45.0,200
SHOPPING_ELECTRONICS,7,19,17,8,2100.3,262.5,150.0,200
ENTERTAINMENT,7,19,23,22,815.6,37.1,20.0,200
HOUSING,7,19,5,7,12344.6,1763.5,600.0,200
INSURANCE,7,19,5,3,540.3,180.1,100.0,200
EDUCATION,7,19,8,3,1581.2,527.1,300.0,200
TRAVEL,7,19,10,7,1002.7,143.2,100.0,200
CASH_WITHDRAWAL,7,19,17,5,467.9,93.6,50.0,200
CASH_DEPOSIT,7,19,10,3,1502.5,500.8,300.0,200
BANK_TRANSFER,7,19,11,3,3142.5,1047.5,500.0,200
CREDIT_CARD_PAYMENT,7,19,17,7,515.3,73.6,40.0,200
FOOD_GROCERIES,7,20,16,64,3145.1,49.1,15.0,201
FOOD_RESTAURANT,7,20,21,35,896.4,25.6,12.0,201
TRANSPORT_PUBLIC,7,20,16,59,539.6,9.1,5.0,201
TRANSPORT_PRIVATE,7,20,19,33,514.9,15.6,8.0,201
HEALTHCARE,7,20,15,19,2288.1,120.4,80.0,201
SHOPPING_CLOTHES,7,20,19,22,1807.0,82.1,45.0,201
SHOPPING_ELECTRONICS,7,20,19,16,3649.4,228.1,150.0,201
ENTERTAINMENT,7,20,21,29,987.6,34.1,20.0,201
HOUSING,7,20,3,9,16050.9,1783.4,600.0,201
INSURANCE,7,20,1,4,812.2,203.0,100.0,201
EDUCATION,7,20,16,4,2033.5,508.4,300.0,201
TRAVEL,7,20,8,9,1285.3,142.8,100.0,201
CASH_WITHDRAWAL,7,20,16,9,857.9,95.3,50.0,201
CASH_DEPOSIT,7,20,17,4,2173.9,543.5,300.0,201
BANK_TRANSFER,7,20,12,4,4047.8,1012.0,500.0,201
CREDIT_CARD_PAYMENT,7,20,10,7,552.6,78.9,40.0,201
FOOD_GROCERIES,7,21,14,63,2587.5,41.1,15.0,202
FOOD_RESTAURANT,7,21,12,46,1175.8,25.6,12.0,202
TRANSPORT_PUBLIC,7,21,8,56,450.7,8.0,5.0,202
TRANSPORT_PRIVATE,7,21,7,39,554.9,14.2,8.0,202
HEALTHCARE,7,21,16,17,2185.4,128.6,80.0,202
SHOPPING_CLOTHES,7,21,19,27,2387.0,88.4,45.0,202
SHOPPING_ELECTRONICS,7,21,10,12,3081.4,256.8,150.0,202
ENTERTAINMENT,7,21,21,33,1058.6,32.1,20.0,202
HOUSING,7,21,3,7,13348.2,1906.9,600.0,202
INSURANCE,7,21,1,3,571.5,190.5,100.0,202
EDUCATION,7,21,10,5,2263.4,452.7,300.0,202
TRAVEL,7,21,9,10,1386.0,138.6,100.0,202
CASH_WITHDRAWAL,7,21,18,10,1046.0,104.6,50.0,202
CASH_DEPOSIT,7,21,8,4,1992.3,498.1,300.0,202
BANK_TRANSFER,7,21,12,3,2864.9,955.0,500.0,202
CREDIT_CARD_PAYMENT,7,21,10,9,714.3,79.4,40.0,202
FOOD_GROCERIES,7,22,18,52,2325.7,44.7,15.0,203
FOOD_RESTAURANT,7,22,19,25,603.6,24.1,12.0,203
TRANSPORT_PUBLIC,7,22,16,35,281.1,8.0,5.0,203
TRANSPORT_PRIVATE,7,22,9,30,466.5,15.6,8.0,203
HEALTHCARE,7,22,10,14,1786.2,127.6,80.0,203
SHOPPING_CLOTHES,7,22,14,23,1788.5,77.8,45.0,203
SHOPPING_ELECTRONICS,7,22,17,8,1937.9,242.2,150.0,203
ENTERTAINMENT,7,22,22,22,700.4,31.8,20.0,203
HOUSING,7,22,3,7,12835.9,1833.7,600.0,203
INSURANCE,7,22,5,3,580.4,193.5,100.0,203
EDUCATION,7,22,10,3,1412.3,470.8,300.0,203
TRAVEL,7,22,10,6,829.0,138.2,100.0,203
CASH_WITHDRAWAL,7,22,15,6,586.7,97.8,50.0,203
CASH_DEPOSIT,7,22,17,3,1361.6,453.9,300.0,203
BANK_TRANSFER,7,22,16,3,3174.7,1058.2,500.0,203
CREDIT_CARD_PAYMENT,7,22,21,7,505.2,72.2,40.0,203
FOOD_GROCERIES,7,23,14,56,2270.3,40.5,15.0,204
FOOD_RESTAURANT,7,23,12,34,927.4,27.3,12.0,204
TRANSPORT_PUBLIC,7,23,8,45,376.9,8.4,5.0,204
TRANSPORT_PRIVATE,7,23,9,31,425.8,13.7,8.0,204
HEALTHCARE,7,23,9,15,1711.8,114.1,80.0,204
SHOPPING_CLOTHES,7,23,13,24,1883.1,78.5,45.0,204
SHOPPING_ELECTRONICS,7,23,17,11,2912.0,264.7,150.0,204
ENTERTAINMENT,7,23,18,26,925.3,35.6,20.0,204
HOUSING,7,23,5,6,11245.2,1874.2,600.0,204
INSURANCE,7,23,2,2,430.7,215.3,100.0,204
EDUCATION,7,23,13,3,1546.3,515.4,300.0,204
TRAVEL,7,23,10,7,1032.8,147.5,100.0,204
CASH_WITHDRAWAL,7,23,13,7,630.1,90.0,50.0,204
CASH_DEPOSIT,7,23,10,3,1390.7,463.6,300.0,204
BANK_TRANSFER,7,23,16,3,3215.9,1072.0,500.0,204
CREDIT_CARD_PAYMENT,7,23,10,6,420.7,70.1,40.0,204
FOOD_GROCERIES,7,24,14,50,2033.5,40.7,15.0,205
FOOD_RESTAURANT,7,24,19,26,638.4,24.6,12.0,205
TRANSPORT_PUBLIC,7,24,17,44,364.3,8.3,5.0,205
TRANSPORT_PRIVATE,7,24,18,32,435.0,13.6,8.0,205
HEALTHCARE,7,24,8,16,1997.8,124.9,80.0,205
SHOPPING_CLOTHES,7,24,12,20,1696.0,84.8,45.0,205
SHOPPING_ELECTRONICS,7,24,16,11,2877.1,261.6,150.0,205
ENTERTAINMENT,7,24,23,20,656.2,32.8,20.0,205
HOUSING,7,24,1,6,10830.5,1805.1,600.0,205
INSURANCE,7,24,1,3,554.7,184.9,100.0,205
EDUCATION,7,24,15,3,1427.7,475.9,300.0,205
TRAVEL,7,24,11,7,1133.2,161.9,100.0,205
CASH_WITHDRAWAL,7,24,20,6,549.9,91.6,50.0,205
CASH_DEPOSIT,7,24,16,3,1612.9,537.6,300.0,205
BANK_TRANSFER,7,24,10,2,2033.7,1016.9,500.0,205
CREDIT_CARD_PAYMENT,7,24,13,8,575.7,72.0,40.0,205
FOOD_GROCERIES,7,25,17,54,2613.7,48.4,15.0,206
FOOD_RESTAURANT,7,25,18,28,651.2,23.3,12.0,206
TRANSPORT_PUBLIC,7,25,17,48,397.6,8.3,5.0,206
TRANSPORT_PRIVATE,7,25,18,30,414.9,13.8,8.0,206
HEALTHCARE,7,25,15,12,1422.1,118.5,80.0,206
SHOPPING_CLOTHES,7,25,11,20,1552.6,77.6,45.0,206
SHOPPING_ELECTRONICS,7,25,18,11,2720.2,247.3,150.0,206
ENTERTAINMENT,7,25,22,24,791.4,33.0,20.0,206
HOUSING,7,25,2,7,12438.8,1777.0,600.0,206
INSURANCE,7,25,4,3,655.9,218.6,100.0,206
EDUCATION,7,25,13,2,1004.5,502.2,300.0,206
TRAVEL,7,25,15,5,789.1,157.8,100.0,206
CASH_WITHDRAWAL,7,25,20,7,694.2,99.2,50.0,206
CASH_DEPOSIT,7,25,10,3,1499.6,499.9,300.0,206
BANK_TRANSFER,7,25,15,3,3117.0,1039.0,500.0,206
CREDIT_CARD_PAYMENT,7,25,11,6,448.2,74.7,40.0,206
FOOD_GROCERIES,7,26,18,42,1736.4,41.3,15.0,207
FOOD_RESTAURANT,7,26,13,36,929.1,25.8,12.0,207
TRANSPORT_PUBLIC,7,26,17,35,314.6,9.0,5.0,207
TRANSPORT_PRIVATE,7,26,8,31,477.5,15.4,8.0,207
HEALTHCARE,7,26,10,14,1834.3,131.0,80.0,207
SHOPPING_CLOTHES,7,26,13,23,1837.0,79.9,45.0,207
SHOPPING_ELECTRONICS,7,26,16,10,2617.5,261.8,150.0,207
ENTERTAINMENT,7,26,23,21,754.4,35.9,20.0,207
HOUSING,7,26,4,8,15142.6,1892.8,600.0,207
INSURANCE,7,26,5,3,544.9,181.6,100.0,207
EDUCATION,7,26,11,4,1853.7,463.4,300.0,207
TRAVEL,7,26,11,7,1081.1,154.4,100.0,207
CASH_WITHDRAWAL,7,26,20,7,660.9,94.4,50.0,207
CASH_DEPOSIT,7,26,11,4,1804.9,451.2,300.0,207
BANK_TRANSFER,7,26,10,3,2983.3,994.4,500.0,207
CREDIT_CARD_PAYMENT,7,26,11,6,405.1,67.5,40.0,207
FOOD_GROCERIES,7,27,15,55,2542.9,46.2,15.0,208
FOOD_RESTAURANT,7,27,21,45,1073.9,23.9,12.0,208
TRANSPORT_PUBLIC,7,27,16,55,512.1,9.3,5.0,208
TRANSPORT_PRIVATE,7,27,8,35,488.3,14.0,8.0,208
HEALTHCARE,7,27,10,18,2270.5,126.1,80.0,208
SHOPPING_CLOTHES,7,27,19,23,2008.4,87.3,45.0,208
SHOPPING_ELECTRONICS,7,27,10,11,2922.3,265.7,150.0,208
ENTERTAINMENT,7,27,21,30,1066.0,35.5,20.0,208
HOUSING,7,27,2,8,15763.7,1970.5,600.0,208
INSURANCE,7,27,1,5,1016.8,203.4,100.0,208
EDUCATION,7,27,13,3,1374.8,458.3,300.0,208
TRAVEL,7,27,10,9,1464.1,162.7,100.0,208
CASH_WITHDRAWAL,7,27,18,10,1056.8,105.7,50.0,208
CASH_DEPOSIT,7,27,13,4,2148.3,537.1,300.0,208
BANK_TRANSFER,7,27,13,4,3718.2,929.5,500.0,208
CREDIT_CARD_PAYMENT,7,27,20,8,543.6,67.9,40.0,208
FOOD_GROCERIES,7,28,8,73,3383.4,46.3,15.0,209
FOOD_RESTAURANT,7,28,13,33,846.3,25.6,12.0,209
TRANSPORT_PUBLIC,7,28,8,57,463.4,8.1,5.0,209
TRANSPORT_PRIVATE,7,28,7,36,545.3,15.1,8.0,209
HEALTHCARE,7,28,14,20,2487.8,124.4,80.0,209
SHOPPING_CLOTHES,7,28,16,31,2649.3,85.5,45.0,209
SHOPPING_ELECTRONICS,7,28,18,10,2516.9,251.7,150.0,209
ENTERTAINMENT,7,28,18,36,1176.8,32.7,20.0,209
HOUSING,7,28,5,8,14172.6,1771.6,600.0,209
INSURANCE,7,28,1,4,833.6,208.4,100.0,209
EDUCATION,7,28,12,5,2267.1,453.4,300.0,209
TRAVEL,7,28,16,10,1603.7,160.4,100.0,209
CASH_WITHDRAWAL,7,28,10,8,804.0,100.5,50.0,209
CASH_DEPOSIT,7,28,8,5,2525.4,505.1,300.0,209
BANK_TRANSFER,7,28,10,4,3731.2,932.8,500.0,209
CREDIT_CARD_PAYMENT,7,28,16,8,585.0,73.1,40.0,209
FOOD_GROCERIES,7,29,8,53,2162.7,40.8,15.0,210
FOOD_RESTAURANT,7,29,21,36,974.0,27.1,12.0,210
TRANSPORT_PUBLIC,7,29,8,33,285.2,8.6,5.0,210
TRANSPORT_PRIVATE,7,29,9,31,427.1,13.8,8.0,210
HEALTHCARE,7,29,10,15,1874.4,125.0,80.0,210
SHOPPING_CLOTHES,7,29,12,23,2034.4,88.5,45.0,210
SHOPPING_ELECTRONICS,7,29,12,8,2124.5,265.6,150.0,210
ENTERTAINMENT,7,29,19,23,841.6,36.6,20.0,210
HOUSING,7,29,5,5,8425.1,1685.0,600.0,210
INSURANCE,7,29,5,3,558.4,186.1,100.0,210
EDUCATION,7,29,11,3,1516.8,505.6,300.0,210
TRAVEL,7,29,16,7,1070.8,153.0,100.0,210
CASH_WITHDRAWAL,7,29,15,7,735.3,105.0,50.0,210
CASH_DEPOSIT,7,29,15,3,1494.0,498.0,300.0,210
BANK_TRANSFER,7,29,11,2,2183.9,1092.0,500.0,210
CREDIT_CARD_PAYMENT,7,29,14,7,567.7,81.1,40.0,210
FOOD_GROCERIES,7,30,17,61,2874.1,47.1,15.0,211
FOOD_RESTAURANT,7,30,11,33,753.3,22.8,12.0,211
TRANSPORT_PUBLIC,7,30,19,45,347.3,7.7,5.0,211
TRANSPORT_PRIVATE,7,30,9,28,383.2,13.7,8.0,211
HEALTHCARE,7,30,16,13,1531.1,117.8,80.0,211
SHOPPING_CLOTHES,7,30,13,23,2081.2,90.5,45.0,211
SHOPPING_ELECTRONICS,7,30,13,11,3003.8,273.1,150.0,211
ENTERTAINMENT,7,30,23,24,881.0,36.7,20.0,211
HOUSING,7,30,4,5,9719.9,1944.0,600.0,211
INSURANCE,7,30,5,3,635.5,211.8,100.0,211
EDUCATION,7,30,15,3,1530.1,510.0,300.0,211
TRAVEL,7,30,17,6,928.3,154.7,100.0,211
CASH_WITHDRAWAL,7,30,16,6,589.8,98.3,50.0,211
CASH_DEPOSIT,7,30,12,3,1495.8,498.6,300.0,211
BANK_TRANSFER,7,30,14,2,2096.6,1048.3,500.0,211
CREDIT_CARD_PAYMENT,7,30,17,7,482.4,68.9,40.0,211
FOOD_GROCERIES,7,31,19,50,2035.0,40.7,15.0,212
FOOD_RESTAURANT,7,31,20,35,864.1,24.7,12.0,212
TRANSPORT_PUBLIC,7,31,6,45,408.4,9.1,5.0,212
TRANSPORT_PRIVATE,7,31,17,27,397.7,14.7,8.0,212
HEALTHCARE,7,31,9,15,1910.1,127.3,80.0,212
SHOPPING_CLOTHES,7,31,11,17,1557.3,91.6,45.0,212
SHOPPING_ELECTRONICS,7,31,12,9,2101.9,233.5,150.0,212
